Feeding Type,Timepoint,n,Mean ± SD,Median (IQR)
Exclusive BF,Day 1,747,48.0 ± 75.9,0.0 (0.0–88.0)
Exclusive BF,Day 2,747,176.1 ± 163.3,160.0 (24.0–276.0)
Exclusive BF,Day 3,747,185.5 ± 166.4,176.0 (32.0–300.0)
Exclusive BF,Discharge,747,411.5 ± 268.9,374.0 (308.0–460.0)
Formula,Day 1,280,125.3 ± 108.9,120.0 (23.8–190.0)
Formula,Day 2,280,205.8 ± 148.0,198.0 (89.0–267.2)
Formula,Day 3,280,223.5 ± 159.6,224.0 (103.9–316.2)
Formula,Discharge,280,406.9 ± 200.8,380.0 (314.2–477.0)
Mixed,Day 1,37,143.6 ± 134.9,130.0 (43.0–200.0)
Mixed,Day 2,37,198.2 ± 133.9,208.0 (103.6–258.0)
Mixed,Day 3,37,220.5 ± 139.2,222.0 (120.0–300.0)
Mixed,Discharge,37,384.4 ± 124.1,400.0 (300.0–426.0)
