Topic,Timepoint,Epoch,EpochLabel,N,Median,Q1,Q3
Body weight (g),At birth,0,Pre–BFHI (intro),405,2640.0,2040.0,3230.0
Body weight (g),At birth,1,"Post–BFHI, pre-COVID",407,2650.0,1995.0,3250.0
Body weight (g),At birth,2,Post-COVID,252,2775.0,2073.75,3336.25
Body weight (g),At NICU admission,0,Pre–BFHI (intro),405,2640.0,2005.0,3185.0
Body weight (g),At NICU admission,1,"Post–BFHI, pre-COVID",407,2610.0,1917.5,3160.0
Body weight (g),At NICU admission,2,Post-COVID,252,2765.0,2075.0,3220.0
Body weight (g),Day 1 at NICU,0,Pre–BFHI (intro),405,2645.0,2000.0,3190.0
Body weight (g),Day 1 at NICU,1,"Post–BFHI, pre-COVID",407,2610.0,1922.5,3160.0
Body weight (g),Day 1 at NICU,2,Post-COVID,252,2712.5,2065.0,3192.5
Body weight (g),Day 2 at NICU,0,Pre–BFHI (intro),405,2610.0,2005.0,3180.0
Body weight (g),Day 2 at NICU,1,"Post–BFHI, pre-COVID",407,2595.0,1900.0,3145.0
Body weight (g),Day 2 at NICU,2,Post-COVID,252,2672.5,2060.0,3150.0
Body weight (g),Day 3 at NICU,0,Pre–BFHI (intro),405,2600.0,2000.0,3150.0
Body weight (g),Day 3 at NICU,1,"Post–BFHI, pre-COVID",407,2600.0,1900.0,3140.0
Body weight (g),Day 3 at NICU,2,Post-COVID,252,2670.0,2056.25,3166.25
Body weight (g),At discharge,0,Pre–BFHI (intro),405,2755.0,2320.0,3270.0
Body weight (g),At discharge,1,"Post–BFHI, pre-COVID",407,2745.0,2190.0,3227.5
Body weight (g),At discharge,2,Post-COVID,252,2790.0,2321.25,3341.25
