variable,n,OR_per_1SD (epoch==2 vs others),coef_z,p
"Formula, Day 1 at NICU (cc)",1064,2.0143234831605024,0.7002833986582346,7.325981086412261e-21
"Formula, Day 2 at NICU (cc)",1064,2.3611806269239812,0.8591617595921328,5.492727830760751e-28
"Formula, Day 3 at NICU (cc)",1061,2.600226929956136,0.955598721971053,8.462175536468757e-33
"Formula, At discharge (cc)",1064,1.8254827992268625,0.601844499569498,2.8354671679970987e-18
"Breast milk, Day 1 at NICU (cc)",1064,0.9274146097292391,-0.07535455372073992,0.3374788527129208
"Breast milk, Day 2 at NICU (cc)",1064,0.8965484251109506,-0.10920297165570174,0.1601541643332569
"Breast milk, Day 3 at NICU (cc)",1064,0.9156713949026551,-0.0880977178595441,0.242727657121517
"Breast milk, At discharge (cc)",1064,1.6586239656810455,0.5059883222740252,4.382522968231984e-12
Weight at birth (g),1064,1.1747808953909753,0.16108165820037518,0.02855258805479789
Weight at NICU admission (g),1064,1.1524910629221043,0.14192574134415706,0.05204027735379202
"Weight, Day 1 at NICU (g)",1064,1.0611038666408552,0.05930974988365798,0.3684239261420065
"Weight, Day 2 at NICU (g)",1064,1.134571027952823,0.12625463055242006,0.0839791945157293
"Weight, Day 3 at NICU (g)",1064,1.1432532004682252,0.13387788299949605,0.06710656162221165
Weight at discharge (g),1064,1.0639527753875597,0.061991005900203844,0.38573230123403757
