Variable,Value,n
Table 1. Baseline Characteristics of Study Population (n=1064),,
,,
**Maternal Characteristics**,,
"Maternal age, years",30.0 (26.0–34.0) [18–49],1064
  <18 years,5 (0.5%),5
  18–35 years,876 (82.3%),876
  >35 years,183 (17.2%),183
Maternal education,,
  Illiterate,10 (0.9%),10
  Primary school,86 (8.1%),86
  Middle school,123 (11.6%),123
  High school,328 (30.8%),328
  Associate degree,109 (10.2%),109
  Bachelor's degree,363 (34.1%),363
  Graduate+,45 (4.2%),45
Maternal occupation,,
  Homemaker,567 (53.3%),567
  Civil servant,67 (6.3%),67
  Teacher,111 (10.4%),111
  Nurse/Midwife,42 (3.9%),42
  Allied health personnel,34 (3.2%),34
  Physician,25 (2.3%),25
  Engineer,26 (2.4%),26
  Legal professional,10 (0.9%),10
  Other,182 (17.1%),182
Delivery method,,
  Vaginal delivery,309 (29.0%),309
  Cesarean section,755 (71.0%),755
"Living children, n",1.0 (1.0–2.0) [0–6],1064
"Previously breastfed children, n",0.0 (0.0–1.0) [0–30],1064
,,
**Infant Characteristics**,,
"Birth weight, grams",2680.0 (2020.0–3250.0) [500–4720],1064
  <1000 g (ELBW),43 (4.0%),43
  1000–1499 g (VLBW),92 (8.6%),92
  1500–2500 g (LBW),332 (31.2%),332
  2501–4000 g,574 (53.9%),574
  >4000 g (Macrosomia),23 (2.2%),23
"Gestational age, weeks",36.0 (34.0–38.0) [22–96],1064
  <28 weeks,35 (3.3%),35
  28–31+6/7 weeks,115 (10.8%),115
  32–33+6/7 weeks,112 (10.5%),112
  34–36+6/7 weeks,305 (28.7%),305
  ≥37 weeks,497 (46.7%),497
Sex,,
  Female,452 (42.5%),452
  Male,612 (57.5%),612
Pregnancy type,,
  Singleton,876 (82.3%),876
  Twin,172 (16.2%),172
  Triplet,16 (1.5%),16
Primary diagnosis,,
  Prematurity,329 (30.9%),329
  Transient tachypnea of the newborn (TTN),212 (19.9%),212
  Indirect (unconjugated) hyperbilirubinemia,212 (19.9%),212
  Neonatal infection/sepsis,55 (5.2%),55
  Polycythemia,52 (4.9%),52
  Dehydration,31 (2.9%),31
  Hypoxic–ischemic encephalopathy (HIE),28 (2.6%),28
  Other,145 (13.6%),145
,,
**Clinical Course**,,
"Length of stay, days",7.0 (3.0–17.0) [3–299],1064
Day 1 breastfeeding initiation,428 (40.2%),1064
Colostrum present,1007 (94.6%),1064
Initial feeding route,,
  None,29 (2.7%),29
  Oral (PO),420 (39.5%),420
  Orogastric (OG),179 (16.8%),179
  PO + OG,58 (5.5%),58
  Breastfeeding,125 (11.7%),125
,,
**Interventions & Support**,,
Breast pump used,614 (57.7%),614
Lactation support received,93 (8.7%),1064
Breastfeeding education received,759 (71.3%),1064
Galactagogue use,264 (24.8%),1064
Breast problems experienced,56 (5.3%),1064
,,
**Study Context**,,
Study epoch,,
  Pre-COVID + Pre-BFHI,405 (38.1%),405
  Pre-COVID + Post-BFHI,407 (38.3%),407
  Post-COVID,252 (23.7%),252
,,
**Primary Outcome**,,
Feeding type at discharge,,
  Exclusive BF,747 (70.2%),747
  Formula,280 (26.3%),280
  Mixed,37 (3.5%),37
,,
,,
"Data are presented as mean ± SD (range) for normally distributed continuous variables, median (IQR) [range] for non-normally distributed continuous variables, or n (%) for categorical variables. EBF, exclusive breastfeeding; BFHI, Baby-Friendly Hospital Initiative; ELBW, extremely low birth weight; VLBW, very low birth weight; LBW, low birth weight.",,
