Predictor,Variable Code,N,Test,Statistic,P-value,Effect Size,OR (95% CI)
Formula intake at discharge (cc),taburculuktamamamiktari,1064,Kruskal-Wallis,747.21,<0.001***,ε²=0.703,—
Breast milk present at discharge,taburculukta_annesutu_111,1064,Chi-square,742.96,<0.001***,Cramér's V=0.836,158.60 (9.67-2602.24)
Breast milk at discharge (binary),Ataburculuktaannesutu,1063,Chi-square,717.03,<0.001***,Cramér's V=0.821,77.87 (10.57-573.70)
Feeding route at discharge,taburculuktanasılbeslenmeyolu,1064,Chi-square,468.43,<0.001***,Cramér's V=0.469,nan (nan-nan)
Breastfeeding at discharge,emzirme_Taburculuk,1063,Chi-square,281.63,<0.001***,Cramér's V=0.515,12.92 (8.79-19.00)
Formula intake on Day 3 (cc),aldıgımamamiktari3.gun,1061,Kruskal-Wallis,230.36,<0.001***,ε²=0.217,—
Formula intake on Day 2 (cc),beslenmemamamiktarı2.guncc,1064,Kruskal-Wallis,213.15,<0.001***,ε²=0.201,—
COVID-19 Period,covid19sonrasi,1064,Chi-square,203.67,<0.001***,Cramér's V=0.438,0.12 (0.09-0.16)
Epoch (COVID × BFHI),ikisiarası,1064,Chi-square,203.36,<0.001***,Cramér's V=0.309,nan (nan-nan)
Lactation education status,annesutuemzirmeeğitimidurumu,1064,Chi-square,169.49,<0.001***,Cramér's V=0.399,6.25 (4.67-8.38)
Formula intake on Day 1 (cc),aldığımamamiktari1.gün,1064,Kruskal-Wallis,163.94,<0.001***,ε²=0.154,—
Feeding route on Day 3,verilisyolu3gun,1061,Chi-square,142.38,<0.001***,Cramér's V=0.259,nan (nan-nan)
Feeding route on Day 2,verilisyolu2.gun,1064,Chi-square,123.34,<0.001***,Cramér's V=0.241,nan (nan-nan)
Breast milk ratio on Day 1,eng_bm_ratio_d1,1064,Kruskal-Wallis,85.53,<0.001***,ε²=0.080,—
Breast milk ratio on Day 3,eng_bm_ratio_d3,1064,Kruskal-Wallis,80.52,<0.001***,ε²=0.076,—
