Variable,Variable_Code,type,n,test,statistic,p_value,effect_size,effect_size_name,group_stats,n_categories,or,or_ci_low,or_ci_high,sig,p_formatted
Formula intake at discharge (cc),taburculuktamamamiktari,continuous,1064,Kruskal-Wallis,747.2059340602627,5.575617803055772e-163,0.7029218570651578,ε²,"{1: {'mean': 14.13520749665328, 'sd': 66.56758286530528, 'median': 0.0, 'n': 747}, 2: {'mean': 177.41785714285714, 'sd': 127.38835312351257, 'median': 155.0, 'n': 280}, 3: {'mean': 301.18918918918916, 'sd': 168.97416598039112, 'median': 320.0, 'n': 37}}",,,,,***,<0.001
Breast milk present at discharge,taburculukta_annesutu_111,categorical,1064,Chi-square,742.9648331503652,4.647681484883229e-162,0.835628637090833,Cramér's V,,2.0,158.6,9.666264836008759,2602.241964889734,***,<0.001
Breast milk at discharge (binary),Ataburculuktaannesutu,categorical,1063,Chi-square,717.030540039947,1.9897410150928733e-156,0.8213007030415274,Cramér's V,,2.0,77.87456445993031,10.570736320192712,573.7015479460266,***,<0.001
Feeding route at discharge,taburculuktanasılbeslenmeyolu,categorical,1064,Chi-square,468.4331916723563,1.146205734143962e-92,0.46917840907833797,Cramér's V,,7.0,,,,***,<0.001
Breastfeeding at discharge,emzirme_Taburculuk,categorical,1063,Chi-square,281.62651799825517,7.007750609824673e-62,0.5147189297744557,Cramér's V,,2.0,12.920091631855545,8.787063765795942,18.997104405378483,***,<0.001
Formula intake on Day 3 (cc),aldıgımamamiktari3.gun,continuous,1061,Kruskal-Wallis,230.35739422681675,9.517599172994662e-51,0.21731829644039316,ε²,"{1: {'mean': 37.870161290322585, 'sd': 77.21928553577148, 'median': 0.0, 'n': 744}, 2: {'mean': 130.7682142857143, 'sd': 114.63652278058136, 'median': 121.6, 'n': 280}, 3: {'mean': 190.2, 'sd': 145.19068687610633, 'median': 215.0, 'n': 37}}",,,,,***,<0.001
Formula intake on Day 2 (cc),beslenmemamamiktarı2.guncc,continuous,1064,Kruskal-Wallis,213.14739362690642,5.195550349607774e-47,0.2005149516715959,ε²,"{1: {'mean': 43.23360107095047, 'sd': 74.98253135807562, 'median': 0.0, 'n': 747}, 2: {'mean': 129.38214285714287, 'sd': 116.53954073417094, 'median': 120.0, 'n': 280}, 3: {'mean': 175.17567567567568, 'sd': 135.26497741142796, 'median': 186.0, 'n': 37}}",,,,,***,<0.001
COVID-19 Period,covid19sonrasi,categorical,1064,Chi-square,203.6676902811285,5.944604754018306e-45,0.43751228799191205,Cramér's V,,2.0,0.11990690032858707,0.08759977778068835,0.16412900934983105,***,<0.001
Epoch (COVID × BFHI),ikisiarası,categorical,1064,Chi-square,203.35853267460882,7.124238706814728e-43,0.30913301383357206,Cramér's V,,3.0,,,,***,<0.001
Lactation education status,annesutuemzirmeeğitimidurumu,categorical,1064,Chi-square,169.48871205855676,1.570340400558267e-37,0.39911640195646386,Cramér's V,,2.0,6.25162861836515,4.665348826953004,8.377264344344354,***,<0.001
Formula intake on Day 1 (cc),aldığımamamiktari1.gün,continuous,1064,Kruskal-Wallis,163.94156762274204,2.515016933207234e-36,0.15422536935347322,ε²,"{1: {'mean': 47.967871485943775, 'sd': 75.93086181538025, 'median': 0.0, 'n': 747}, 2: {'mean': 125.2657142857143, 'sd': 108.9460290383067, 'median': 120.0, 'n': 280}, 3: {'mean': 143.56756756756758, 'sd': 134.85455962722304, 'median': 130.0, 'n': 37}}",,,,,***,<0.001
Feeding route on Day 3,verilisyolu3gun,categorical,1061,Chi-square,142.3828926916976,1.3683225886737889e-25,0.2590336685052218,Cramér's V,,6.0,,,,***,<0.001
